PERIOD,OwnerId,DealID,Opportunity stage,Closed won,Closed lost,Inbound Calls,Inbound Email,Outbound Email,Meetings Scheduled,Lead Response Time,Average Contract Value,Sales Cycle Length,Linkedin Messaging,Daily opportunity movements,Outbound leads created,Contacts per/in company,Sales by territory,Sales by industry,Sales by channel,Number of Demos
2021-11-01,1,1,Pitching,0,0,1,3,1,1,8,4307.5,0,7,2,0,1,1,2,1,3
2021-01-17,1,1,Negotiation,0,0,6,2,3,0,36,4307.5,6,1,2,3,6,1,2,1,1
2021-02-02,1,1,Interaction,0,0,6,0,2,0,3,4307.5,22,9,3,2,1,1,2,1,3
2021-09-30,1,1,Commitment,0,0,6,0,2,0,3,4307.5,262,9,3,2,1,1,2,1,3
2021-01-10,1,1,Closed,0,1,7,0,0,0,14,1913.17,263,4,1,0,1,1,2,1,0
2021-05-01,2,2,Pitching,0,0,1,1,0,4,9,2173.28,0,8,3,0,9,2,0,2,3
2021-09-01,2,2,Negotiation,0,0,8,4,3,1,9,2173.28,4,8,3,7,6,2,0,2,3
2021-01-17,2,2,Interaction,0,0,8,2,0,0,37,2173.28,12,0,3,0,8,2,0,2,3
2021-09-26,2,2,Commitment,0,0,8,2,0,0,37,2173.28,264,0,3,0,8,2,0,2,3
2021-09-27,2,2,Closed,0,1,7,1,0,3,26,2591.09,265,4,2,1,7,2,0,2,3
2021-01-02,4,3,Pitching,0,0,2,0,2,4,41,838.85,0,0,1,9,9,0,3,1,2
2021-01-03,4,3,Negotiation,0,0,7,4,1,2,33,838.85,28,6,3,1,2,0,3,1,0
2021-01-05,4,3,Interaction,0,0,6,2,0,2,35,838.85,89,6,3,6,4,0,3,1,2
2021-11-10,4,3,Commitment,0,0,6,2,0,2,35,838.85,252,6,3,6,4,0,3,1,2
2021-12-10,4,3,Closed,0,1,7,3,3,2,33,4035.24,253,3,0,0,8,0,3,1,1
2021-01-17,1,4,Negotiation,0,0,2,0,1,2,13,893.55,0,5,4,3,1,3,1,1,0
2021-02-02,1,4,Interaction,0,0,7,1,0,0,18,893.55,16,8,4,0,8,3,1,1,2
2021-01-09,1,4,Pitching,0,0,6,0,2,4,37,893.55,227,7,3,4,8,3,1,1,1
2021-10-14,1,4,Commitment,0,0,6,0,2,4,37,893.55,270,7,3,4,8,3,1,1,1
2021-10-15,1,4,Closed,1,0,8,4,3,2,21,2787.95,271,9,4,9,4,3,1,1,0
2021-01-23,2,5,Negotiation,0,0,4,0,0,4,25,2538.91,0,5,3,4,3,1,0,2,3
2021-02-14,2,5,Pitching,0,0,2,3,4,1,27,2538.91,22,2,3,3,5,1,0,2,3
2021-05-15,2,5,Interaction,0,0,5,3,2,2,35,1121.79,112,8,0,1,4,1,0,2,2
2021-11-30,2,5,Commitment,0,0,5,3,2,2,35,1121.79,311,8,0,1,4,1,0,2,2
2021-01-12,2,5,Closed,0,1,3,0,0,4,21,2538.91,312,2,2,5,3,1,0,2,0
2021-05-02,1,6,Interaction,0,0,8,1,4,4,44,3082.94,0,5,0,8,7,0,0,0,1
2021-01-03,1,6,Pitching,0,0,3,1,3,3,6,3783.89,24,4,0,9,4,0,0,0,1
2021-01-05,1,6,Negotiation,0,0,6,3,1,1,32,3783.89,85,6,1,9,1,0,0,0,1
2021-08-31,1,6,Commitment,0,0,6,3,1,1,32,3783.89,207,6,1,9,1,0,0,0,1
2021-01-09,1,6,Closed,1,0,7,2,3,4,5,3783.89,208,9,0,6,3,0,0,0,0
2021-01-23,2,7,Negotiation,0,0,1,2,2,0,12,1510.92,0,0,0,1,1,2,3,2,0
2021-02-14,2,7,Pitching,0,0,7,3,0,3,46,1510.92,22,4,4,2,3,2,3,2,3
2021-06-29,2,7,Interaction,0,0,3,4,1,0,22,4108.01,157,5,2,3,7,2,3,2,1
2021-11-30,2,7,Commitment,0,0,3,4,1,0,22,4108.01,311,5,2,3,7,2,3,2,1
2021-01-12,2,7,Closed,0,1,4,4,1,3,32,1510.92,312,4,3,1,7,2,3,2,3
2021-01-03,1,8,Pitching,0,0,1,1,0,3,4,1747.86,0,4,3,8,9,3,3,0,2
2021-01-05,1,8,Negotiation,0,0,2,3,0,0,27,1747.86,61,9,4,9,3,3,3,0,3
2021-07-18,1,8,Interaction,0,0,2,4,3,3,17,3910.43,139,6,4,0,2,3,3,0,1
2021-08-31,1,8,Commitment,0,0,2,4,3,3,17,3910.43,183,6,4,0,2,3,3,0,1
2021-01-09,1,8,Closed,0,1,7,3,4,0,32,1747.86,184,5,3,2,9,3,3,0,0
2021-01-13,1,9,Negotiation,0,0,2,3,2,1,31,3616.56,0,8,2,3,4,3,3,1,3
2021-01-25,1,9,Interaction,0,0,3,1,1,3,19,3616.56,12,2,0,9,8,3,3,1,1
2021-01-07,1,9,Pitching,0,0,2,0,0,0,13,3616.56,169,6,2,8,3,3,3,1,3
2021-07-14,1,9,Commitment,0,0,2,0,0,0,13,3616.56,182,6,2,8,3,3,3,1,3
2021-07-15,1,9,Closed,0,1,1,1,1,2,44,3224.94,183,5,4,6,6,3,3,1,2
2021-11-01,2,10,Interaction,0,0,2,1,0,3,14,4901.76,0,3,2,1,3,0,3,2,1
2021-01-13,2,10,Negotiation,0,0,0,4,1,2,32,649.5,2,0,2,8,3,0,3,2,3
2021-01-25,2,10,Pitching,0,0,3,3,2,0,10,649.5,14,4,2,0,2,0,3,2,2
2021-06-30,2,10,Commitment,0,0,3,3,2,0,10,649.5,170,4,2,0,2,0,3,2,2
2021-01-07,2,10,Closed,1,0,6,2,2,1,24,649.5,171,3,2,4,7,0,3,2,3
2021-01-21,1,11,Negotiation,0,0,6,0,1,3,17,1908.87,0,3,3,5,9,0,1,1,1
2021-03-19,1,11,Interaction,0,0,0,4,4,0,3,3195.14,57,9,1,2,7,0,1,1,0
2021-01-06,1,11,Pitching,0,0,1,1,2,2,17,656.62,131,0,2,8,2,0,1,1,1
2021-10-31,1,11,Commitment,0,0,1,1,2,2,17,656.62,283,0,2,8,2,0,1,1,1
2021-01-11,1,11,Closed,0,1,1,4,2,1,32,656.62,284,7,3,7,9,0,1,1,3
2021-01-23,2,12,Negotiation,0,0,6,3,3,3,25,3180.98,0,3,1,4,1,1,3,0,3
2021-02-14,2,12,Pitching,0,0,4,1,0,1,13,3180.98,22,0,4,4,5,1,3,0,2
2021-08-15,2,12,Interaction,0,0,5,0,0,2,5,2054.95,204,3,2,3,4,1,3,0,0
2021-11-30,2,12,Commitment,0,0,5,0,0,2,5,2054.95,311,3,2,3,4,1,3,0,0
2021-01-12,2,12,Closed,0,1,5,1,4,1,21,3180.98,312,9,3,1,1,1,3,0,3
2021-01-21,5,13,Negotiation,0,0,8,1,3,2,32,4207.68,0,2,0,7,4,1,2,1,3
2021-01-06,5,13,Pitching,0,0,5,0,0,2,1,1126.33,131,9,1,4,3,1,2,1,2
2021-09-18,5,13,Interaction,0,0,6,3,4,0,39,3405.0,240,3,0,1,7,1,2,1,3
2021-10-31,5,13,Commitment,0,0,6,3,4,0,39,3405.0,283,3,0,1,7,1,2,1,3
2021-01-11,5,13,Closed,0,1,6,0,4,1,5,1126.33,284,7,2,3,8,1,2,1,3
2021-01-19,1,14,Negotiation,0,0,5,0,1,4,10,1955.15,0,6,4,5,2,1,1,2,2
2021-02-06,1,14,Pitching,0,0,5,0,4,4,46,1955.15,134,7,4,0,5,1,1,2,0
2021-11-06,1,14,Interaction,0,0,7,0,1,4,24,619.15,143,8,3,9,6,1,1,2,0
2021-09-30,1,14,Commitment,0,0,7,0,1,4,24,619.15,254,8,3,9,6,1,1,2,0
2021-01-10,1,14,Closed,0,1,5,2,4,1,17,1955.15,255,4,1,3,1,1,1,2,0
2021-01-23,2,15,Negotiation,0,0,1,1,4,0,18,3383.77,0,1,1,5,4,0,3,0,1
2021-10-02,2,15,Interaction,0,0,2,1,3,1,22,4673.96,18,8,0,5,7,0,3,0,1
2021-02-14,2,15,Pitching,0,0,1,2,4,4,33,3383.77,22,4,1,5,1,0,3,0,2
2021-11-30,2,15,Commitment,0,0,1,2,4,4,33,3383.77,311,4,1,5,1,0,3,0,2
2021-01-12,2,15,Closed,0,1,5,0,2,1,2,3383.77,312,4,4,7,3,0,3,0,0
2021-01-13,4,16,Negotiation,0,0,6,2,1,0,21,2813.6,0,8,0,9,2,2,0,1,3
2021-11-02,4,16,Interaction,0,0,3,0,0,1,32,2142.25,29,0,2,1,1,2,0,1,1
2021-01-04,4,16,Pitching,0,0,2,2,4,4,14,1408.25,78,0,0,0,3,2,0,1,0
2021-06-30,4,16,Commitment,0,0,2,2,4,4,14,1408.25,168,0,0,0,3,2,0,1,0
2021-01-07,4,16,Closed,1,0,1,2,0,0,33,1408.25,169,4,1,6,3,2,0,1,1
2021-01-13,5,17,Negotiation,0,0,1,4,3,4,4,1510.99,0,1,3,3,3,1,3,0,3
2021-01-04,5,17,Pitching,0,0,5,4,4,0,10,4171.23,78,7,2,4,3,1,3,0,0
2021-04-19,5,17,Interaction,0,0,1,4,0,0,46,2031.66,96,1,2,5,8,1,3,0,2
2021-06-30,5,17,Commitment,0,0,1,4,0,0,46,2031.66,168,1,2,5,8,1,3,0,2
2021-01-07,5,17,Closed,0,1,0,4,4,3,22,4171.23,169,2,3,0,6,1,3,0,1
2021-01-23,3,18,Negotiation,0,0,3,0,4,0,13,4028.9,0,0,3,1,9,2,1,0,1
2021-01-28,3,18,Interaction,0,0,9,2,0,1,13,2262.67,5,8,0,7,8,2,1,0,3
2021-02-14,3,18,Pitching,0,0,0,0,2,3,43,4028.9,22,1,1,4,6,2,1,0,1
2021-11-30,3,18,Commitment,0,0,0,0,2,3,43,4028.9,311,1,1,4,6,2,1,0,1
2021-01-12,3,18,Closed,0,1,4,1,0,0,7,4028.9,312,0,0,0,7,2,1,0,2
2021-01-17,3,19,Negotiation,0,0,7,1,1,1,33,3559.33,0,9,1,9,9,1,3,2,2
2021-01-05,3,19,Pitching,0,0,1,1,2,2,44,1738.61,104,7,1,0,1,1,3,2,2
2021-05-14,3,19,Interaction,0,0,9,2,0,0,33,727.61,117,2,1,1,8,1,3,2,3
